x,y,angle_x,angle_y,input_x,input_y
0.032,-0.037,5.545,-5.866,0.113,0.232
0.035,-0.028,5.866,-4.661,0.109,0.204
0.038,-0.019,5.946,-3.857,0.123,0.224
0.040,-0.009,6.107,-2.812,0.129,0.230
0.041,0.000,6.348,-1.848,0.116,0.243
0.042,0.014,6.670,-0.080,-0.115,0.464
0.042,0.023,6.670,1.848,-0.134,0.477
0.041,0.032,6.670,4.420,-0.155,0.330
0.040,0.040,6.589,6.429,-0.185,0.174
0.037,0.048,6.509,7.393,-0.228,0.126
0.034,0.055,6.348,7.955,-0.275,0.137
0.031,0.061,6.188,8.518,-0.327,0.152
