x,y,angle_x,angle_y,input_x,input_y
0.000,-0.000,5.384,-6.589,-0.473,0.474
0.005,-0.009,4.661,-5.384,-0.821,0.970
0.003,-0.007,3.054,-3.134,-0.230,0.118
0.003,-0.006,2.571,-2.250,-0.188,-0.134
0.002,-0.005,2.089,-1.768,-0.135,-0.231
0.001,-0.004,2.009,-1.768,-0.126,-0.233
0.000,-0.002,2.009,-1.929,-0.157,-0.183
-0.001,-0.001,2.009,-2.009,-0.196,-0.120
-0.001,-0.000,2.009,-2.009,-0.230,0.130
-0.003,0.001,2.009,-2.009,-0.310,0.163
-0.004,0.003,1.929,-1.848,-0.572,0.296
-0.004,0.004,1.688,-1.607,-0.597,0.534
-0.005,0.005,1.125,-1.125,-0.604,0.560
-0.006,0.006,0.402,-0.161,-0.573,0.547
-0.007,0.007,-0.080,0.482,-0.542,0.497
-0.008,0.008,-0.723,1.366,-0.534,0.470
-0.009,0.010,-1.366,2.170,-0.512,0.425
-0.010,0.011,-2.009,2.973,-0.491,0.389
-0.011,0.012,-2.571,3.616,-0.472,0.357
-0.012,0.013,-3.054,4.259,-0.471,0.349
-0.013,0.014,-3.616,4.902,-0.469,0.339
-0.014,0.015,-4.098,5.384,-0.458,0.329
-0.015,0.016,-4.580,5.946,-0.432,0.305
-0.016,0.016,-5.062,6.429,-0.408,0.273
-0.016,0.017,-5.464,6.830,-0.382,0.250
-0.017,0.018,-5.946,7.312,-0.364,0.231
-0.018,0.019,-6.268,7.634,-0.339,0.208
-0.019,0.020,-6.589,7.955,-0.326,0.198
-0.019,0.020,-6.911,8.357,-0.318,0.183
-0.020,0.021,-7.152,8.598,-0.307,0.160
-0.021,0.022,-7.393,8.839,-0.306,0.157
-0.021,0.022,-7.554,9.000,-0.303,0.152
-0.022,0.023,-7.795,9.241,-0.306,0.151
-0.022,0.023,-7.955,9.402,-0.298,0.145
-0.023,0.024,-8.116,9.562,-0.296,0.141
-0.023,0.024,-8.277,9.723,-0.294,0.136
-0.024,0.024,-8.438,9.964,-0.292,0.130
-0.024,0.025,-8.598,10.125,-0.288,0.112
-0.024,0.025,-8.679,10.286,-0.275,-0.101
-0.025,0.025,-8.839,10.286,-0.272,-0.107
-0.025,0.025,-9.000,10.286,-0.261,-0.105
-0.025,0.025,-9.080,10.286,-0.244,-0.100
-0.025,0.025,-9.161,10.286,-0.237,-0.101
-0.025,0.026,-9.321,10.286,-0.227,0.101
-0.025,0.026,-9.402,10.286,-0.200,0.103
-0.024,0.026,-9.402,10.366,-0.189,-0.102
-0.024,0.026,-9.402,10.366,-0.181,-0.112
-0.024,0.026,-9.402,10.366,-0.167,-0.116
-0.022,0.025,-9.402,10.366,-0.149,-0.122
-0.023,0.025,-9.402,10.366,0.103,-0.135
-0.023,0.025,-9.402,10.366,-0.138,-0.129
-0.022,0.025,-9.402,10.366,-0.105,-0.143
-0.022,0.025,-9.402,10.366,0.118,-0.158
-0.021,0.024,-9.321,10.286,0.151,-0.174
-0.019,0.023,-9.161,10.286,0.198,-0.214
-0.018,0.022,-8.839,10.286,0.231,-0.262
-0.017,0.020,-8.357,10.125,0.244,-0.327
-0.015,0.019,-7.795,9.884,0.244,-0.377
-0.014,0.017,-7.152,9.402,0.240,-0.427
-0.012,0.015,-6.670,8.839,0.237,-0.449
-0.011,0.014,-6.429,8.438,0.237,-0.447
-0.010,0.013,-6.107,7.955,0.245,-0.431
-0.009,0.012,-5.786,7.473,0.252,-0.418
-0.008,0.011,-5.545,7.071,0.264,-0.408
-0.007,0.010,-5.223,6.670,0.281,-0.404
-0.006,0.008,-4.902,6.268,0.285,-0.406
-0.005,0.007,-4.500,5.786,0.291,-0.410
-0.004,0.005,-4.179,5.384,0.298,-0.408
-0.003,0.004,-3.777,4.982,0.308,-0.421
-0.002,0.002,-3.375,4.500,0.303,-0.426
-0.001,0.001,-2.893,4.018,0.299,-0.426
0.001,-0.001,-2.491,3.616,0.294,-0.429
0.002,-0.002,-2.170,3.214,0.301,-0.502
0.003,-0.004,-1.688,2.652,0.342,-0.711
0.005,-0.006,-1.205,2.009,0.546,-0.714
0.005,-0.008,-0.723,1.286,0.557,-0.709
0.007,-0.009,0.000,0.321,0.524,-0.701
