x,y,angle_x,angle_y,input_x,input_y
0.054,0.030,19.848,10.768,-0.150,0.277
0.054,0.031,19.768,11.170,-0.164,0.268
0.053,0.033,19.768,11.652,-0.175,0.257
0.053,0.034,19.768,12.054,-0.200,0.242
0.052,0.034,19.688,12.536,-0.234,0.229
0.051,0.035,19.688,12.857,-0.268,0.206
0.050,0.036,19.607,13.179,-0.307,0.202
0.049,0.037,19.527,13.500,-0.346,0.188
0.047,0.038,19.125,14.062,-0.398,0.179
0.044,0.039,18.643,14.625,-0.470,0.164
0.041,0.040,17.839,15.027,-0.532,0.126
0.039,0.040,16.955,15.348,-0.561,-0.106
0.036,0.040,16.152,15.429,-0.548,-0.137
0.032,0.040,14.866,15.348,-0.559,-0.145
0.029,0.040,13.741,15.348,-0.565,-0.149
0.027,0.039,13.259,15.348,-0.549,-0.171
0.024,0.039,12.616,15.268,-0.561,-0.191
0.022,0.038,11.812,15.268,-0.570,-0.207
0.020,0.038,11.250,15.188,-0.574,-0.235
0.017,0.037,10.527,15.107,-0.594,-0.257
0.014,0.036,9.804,15.027,-0.609,-0.286
0.012,0.036,9.080,14.866,-0.620,-0.316
0.009,0.035,8.357,14.625,-0.641,-0.342
0.006,0.034,7.312,14.304,-0.654,-0.357
0.003,0.033,6.670,14.062,-0.645,-0.371
0.000,0.032,5.705,13.741,-0.679,-0.396
-0.003,0.030,4.982,13.420,-0.731,-0.410
-0.006,0.029,4.018,13.018,-0.953,-0.421
-0.009,0.028,2.973,12.536,-0.960,-0.420
-0.012,0.026,1.688,12.134,-0.958,-0.418
-0.014,0.025,0.241,11.732,-0.938,-0.430
-0.017,0.023,-1.125,11.250,-0.903,-0.438
-0.020,0.021,-2.491,10.768,-0.892,-0.443
-0.023,0.020,-4.018,10.205,-0.881,-0.445
-0.026,0.018,-5.384,9.723,-0.854,-0.445
-0.029,0.016,-6.429,9.321,-0.807,-0.459
-0.032,0.014,-7.714,8.759,-0.792,-0.474
-0.035,0.013,-8.839,8.277,-0.746,-0.482
-0.038,0.011,-9.964,7.714,-0.715,-0.494
-0.041,0.009,-11.250,6.991,-0.685,-0.500
-0.043,0.007,-12.375,6.268,-0.632,-0.484
-0.048,0.003,-13.982,5.223,-0.607,-0.485
-0.051,0.001,-14.786,4.661,-0.626,-0.530
-0.053,-0.001,-15.750,4.018,-0.587,-0.522
-0.055,-0.004,-16.473,3.455,-0.570,-0.578
-0.057,-0.006,-17.277,2.812,-0.560,-0.796
-0.059,-0.008,-18.000,1.929,-0.542,-0.806
-0.061,-0.010,-18.643,0.964,-0.536,-0.796
-0.063,-0.012,-19.446,-0.321,-0.527,-0.773
-0.067,-0.017,-20.652,-2.330,-0.509,-0.731
-0.068,-0.019,-21.295,-3.455,-0.506,-0.710
-0.070,-0.021,-21.857,-4.420,-0.472,-0.681
