-0.016,0.017,-4.018,4.098,-0.528,0.526
-0.017,0.018,-4.661,4.982,-0.516,0.520
-0.018,0.020,-5.304,5.866,-0.480,0.515
-0.019,0.022,-5.946,6.830,-0.446,0.477
-0.020,0.024,-6.429,7.554,-0.415,0.429
-0.021,0.026,-6.911,8.357,-0.396,0.409
-0.022,0.027,-7.393,9.080,-0.380,0.379
-0.023,0.029,-7.795,9.884,-0.366,0.351
-0.024,0.030,-8.116,10.527,-0.360,0.320
-0.025,0.032,-8.438,11.009,-0.359,0.303
-0.026,0.033,-8.759,11.571,-0.360,0.301
-0.027,0.035,-9.000,12.054,-0.356,0.290
-0.028,0.036,-9.321,12.536,-0.362,0.283
-0.029,0.037,-9.643,13.018,-0.349,0.272
-0.030,0.039,-10.205,13.821,-0.332,0.262
-0.030,0.040,-10.527,14.223,-0.310,0.258
-0.031,0.041,-10.768,14.625,-0.284,0.234
-0.031,0.042,-11.009,15.027,-0.272,0.224
-0.032,0.043,-11.170,15.348,-0.260,0.205
-0.032,0.044,-11.411,15.670,-0.251,0.193
-0.032,0.044,-11.491,15.911,-0.234,0.171
-0.032,0.044,-11.571,16.232,-0.234,0.159
-0.032,0.045,-11.652,16.393,-0.224,0.136
-0.032,0.045,-11.732,16.634,-0.210,0.130
-0.032,0.045,-11.732,16.795,-0.193,0.111
-0.031,0.046,-11.732,16.955,-0.180,-0.102
-0.031,0.046,-11.732,17.036,-0.167,-0.114
-0.031,0.046,-11.732,17.036,-0.147,-0.123
-0.030,0.046,-11.732,17.036,-0.133,-0.125
-0.030,0.046,-11.732,16.955,-0.107,-0.123
-0.029,0.046,-11.732,16.955,0.119,-0.121
-0.028,0.046,-11.732,16.955,0.142,-0.128
-0.027,0.045,-11.571,16.955,0.182,-0.139
-0.025,0.045,-11.250,16.955,0.240,-0.171
-0.024,0.044,-11.089,16.955,0.281,-0.205
-0.022,0.043,-10.446,16.875,0.302,-0.237
-0.019,0.041,-9.804,16.795,0.336,-0.307
-0.017,0.039,-8.920,16.554,0.360,-0.381
-0.015,0.037,-8.196,16.152,0.365,-0.450
-0.014,0.036,-7.634,15.750,0.357,-0.478
-0.012,0.034,-7.152,15.268,0.346,-0.495
-0.010,0.033,-6.589,14.786,0.353,-0.496
-0.009,0.031,-6.107,14.304,0.358,-0.502
-0.008,0.029,-5.545,13.580,0.349,-0.502
-0.006,0.027,-5.143,13.179,0.344,-0.489
-0.005,0.026,-4.580,12.536,0.348,-0.507
-0.003,0.024,-4.098,12.054,0.340,-0.505
-0.002,0.022,-3.616,11.491,0.345,-0.521
-0.000,0.020,-3.134,10.848,0.345,-0.534
0.001,0.017,-2.652,10.205,0.346,-0.537
0.003,0.015,-2.089,9.482,0.396,-0.541
0.000,-0.000,-1.527,8.920,0.493,-0.738
0.006,0.011,-0.964,8.116,0.209,-1.272
0.008,0.008,-0.402,6.911,0.640,-0.414
0.009,0.006,0.241,5.705,0.602,-0.489
0.011,0.003,1.125,4.982,0.600,-0.448
0.013,0.001,2.009,4.339,0.576,-0.457
0.014,-0.002,3.054,3.777,0.552,-0.482
0.016,-0.004,3.938,3.295,0.521,-0.570
0.017,-0.007,4.821,2.652,0.504,-0.820
0.019,-0.010,5.705,1.848,0.478,-0.852
0.020,-0.012,6.509,0.804,0.434,-0.866
0.022,-0.015,7.393,-0.643,0.389,-0.856
0.023,-0.017,8.116,-1.848,0.340,-0.816
0.024,-0.020,8.679,-3.054,0.308,-0.814
0.026,-0.023,9.241,-4.259,0.293,-0.808
0.027,-0.025,9.723,-5.384,0.275,-0.790
0.028,-0.028,10.205,-6.750,0.261,-0.744
0.030,-0.033,10.929,-8.679,0.250,-0.687
0.031,-0.035,11.330,-9.723,0.252,-0.666
0.032,-0.038,11.732,-10.688,0.221,-0.612
0.033,-0.040,12.054,-11.571,0.204,-0.587
0.033,-0.042,12.375,-12.375,0.189,-0.570
0.034,-0.045,12.696,-13.339,0.183,-0.553
0.035,-0.049,13.098,-14.625,0.166,-0.533
0.035,-0.050,13.259,-15.348,0.163,-0.543
0.036,-0.052,13.420,-15.991,0.151,-0.511
0.036,-0.054,13.661,-16.714,0.146,-0.499
0.036,-0.056,13.821,-17.357,0.125,-0.476
0.000,-0.000,13.902,-18.000,-0.539,0.418
0.000,-0.000,13.902,-18.080,-2.240,2.959
0.000,-0.000,12.375,-16.312,-1.645,2.165
0.000,-0.000,9.482,-12.214,-1.417,1.882
0.000,-0.000,4.982,-5.866,-1.011,1.307
0.000,-0.000,2.973,-2.812,-0.509,0.593
0.000,-0.000,1.125,-0.080,-0.260,0.217
0.000,-0.000,0.080,1.527,0.156,-0.309
0.000,-0.000,0.080,1.527,0.271,-0.489
0.000,-0.000,0.161,1.366,0.279,-0.505
0.000,-0.000,0.643,0.723,0.269,-0.491
0.000,-0.000,0.964,0.161,0.219,-0.428
0.000,-0.000,1.366,-0.402,0.181,-0.369
0.000,-0.000,1.688,-0.884,0.135,-0.308
