x,y,angle_x,angle_y,input_x,input_y
0.020,-0.001,10.286,2.170,-0.445,-0.285
0.018,-0.002,9.804,2.009,-0.427,-0.270
0.016,-0.003,9.402,1.768,-0.456,-0.336
0.012,-0.004,8.518,1.286,-0.509,-0.552
0.008,-0.006,7.393,0.321,-0.586,-0.540
0.004,-0.007,6.107,-0.884,-0.599,-0.482
0.002,-0.008,5.384,-1.527,-0.590,-0.406
-0.003,-0.009,3.938,-2.491,-0.624,-0.369
-0.006,-0.010,2.732,-3.214,-0.830,-0.333
-0.008,-0.011,1.768,-3.536,-0.799,-0.311
-0.010,-0.012,0.804,-3.777,-0.767,-0.330
-0.012,-0.012,-0.241,-4.018,-0.751,-0.352
-0.014,-0.013,-1.205,-4.339,-0.732,-0.379
-0.016,-0.014,-2.250,-4.661,-0.723,-0.376
-0.018,-0.014,-3.214,-4.982,-0.716,-0.358
-0.020,-0.015,-4.259,-5.384,-0.718,-0.340
-0.022,-0.016,-5.223,-5.705,-0.690,-0.321
-0.024,-0.016,-6.188,-5.946,-0.645,-0.306
-0.026,-0.017,-7.071,-6.188,-0.604,-0.299
-0.028,-0.017,-7.955,-6.429,-0.564,-0.292
-0.030,-0.018,-8.839,-6.750,-0.522,-0.285
-0.031,-0.019,-9.402,-6.911,-0.489,-0.272
-0.033,-0.019,-10.045,-7.152,-0.482,-0.275
-0.034,-0.020,-10.607,-7.312,-0.465,-0.268
-0.036,-0.020,-11.170,-7.554,-0.458,-0.269
-0.037,-0.021,-11.652,-7.714,-0.449,-0.262
-0.039,-0.021,-12.214,-7.875,-0.441,-0.265
-0.040,-0.022,-12.616,-8.036,-0.429,-0.264
-0.041,-0.022,-13.018,-8.196,-0.434,-0.262
-0.043,-0.023,-13.500,-8.357,-0.430,-0.261
-0.044,-0.023,-13.902,-8.518,-0.420,-0.260
-0.045,-0.024,-14.304,-8.679,-0.415,-0.251
-0.046,-0.024,-14.705,-8.759,-0.405,-0.248
-0.047,-0.024,-15.268,-8.920,-0.393,-0.248
-0.048,-0.025,-15.750,-9.080,-0.359,-0.241
-0.049,-0.025,-16.071,-9.161,-0.334,-0.237
-0.049,-0.025,-16.393,-9.321,-0.327,-0.228
-0.050,-0.025,-16.634,-9.402,-0.314,-0.218
-0.051,-0.025,-16.875,-9.482,-0.308,-0.219
-0.051,-0.025,-17.116,-9.482,-0.304,-0.212
-0.051,-0.026,-17.277,-9.562,-0.292,-0.218
-0.052,-0.026,-17.438,-9.562,-0.291,-0.218
-0.052,-0.026,-17.598,-9.562,-0.287,-0.220
-0.052,-0.026,-17.839,-9.643,-0.272,-0.224
-0.053,-0.026,-18.080,-9.723,-0.252,-0.220
-0.053,-0.026,-18.161,-9.804,-0.226,-0.215
-0.052,-0.026,-18.321,-9.804,-0.210,-0.207
-0.052,-0.026,-18.321,-9.884,-0.184,-0.203
-0.051,-0.026,-18.402,-9.964,-0.160,-0.189
-0.051,-0.026,-18.402,-10.045,-0.116,-0.172
-0.050,-0.026,-18.402,-10.045,0.107,-0.161
-0.050,-0.026,-18.402,-10.045,0.133,-0.153
-0.048,-0.025,-18.241,-10.045,0.164,-0.145
-0.047,-0.025,-18.161,-10.045,0.210,-0.118
-0.046,-0.024,-18.000,-10.045,0.232,-0.106
-0.045,-0.024,-17.679,-10.045,0.257,0.110
-0.043,-0.023,-17.116,-9.884,0.270,0.136
-0.041,-0.022,-16.473,-9.723,0.308,0.159
-0.038,-0.021,-15.670,-9.562,0.341,0.175
-0.037,-0.021,-15.188,-9.241,0.361,0.185
-0.033,-0.020,-14.304,-8.920,0.364,0.166
-0.030,-0.019,-13.259,-8.518,0.411,0.171
-0.028,-0.019,-12.696,-8.357,0.425,0.167
-0.025,-0.018,-11.652,-8.036,0.417,0.164
-0.023,-0.017,-11.089,-7.875,0.411,0.158
-0.021,-0.017,-10.446,-7.714,0.412,0.159
-0.019,-0.016,-9.804,-7.554,0.413,0.162
-0.017,-0.016,-9.241,-7.393,0.419,0.167
-0.015,-0.015,-8.598,-7.232,0.439,0.176
-0.013,-0.015,-7.875,-6.991,0.443,0.184
-0.010,-0.014,-7.232,-6.750,0.447,0.178
-0.008,-0.013,-6.589,-6.509,0.462,0.176
-0.005,-0.013,-5.866,-6.268,0.478,0.175
-0.003,-0.012,-5.143,-6.107,0.484,0.176
-0.001,-0.012,-4.339,-5.786,0.493,0.179
0.002,-0.011,-3.696,-5.625,0.547,0.170
0.005,-0.010,-2.812,-5.384,0.765,0.178
0.007,-0.009,-1.848,-5.143,0.758,0.181
0.010,-0.009,-0.723,-4.902,0.744,0.174
0.012,-0.008,0.482,-4.741,0.724,0.174
0.015,-0.007,1.688,-4.580,0.697,0.187
0.017,-0.007,2.973,-4.339,0.674,0.196
0.020,-0.006,4.098,-4.098,0.656,0.196
0.022,-0.005,5.304,-3.777,0.655,0.197
0.024,-0.005,6.348,-3.536,0.633,0.189
0.027,-0.004,7.473,-3.295,0.594,0.191
0.029,-0.003,8.679,-3.054,0.544,0.192
0.031,-0.002,9.804,-2.812,0.484,0.194
0.035,-0.001,11.330,-2.330,0.439,0.196
0.038,-0.000,12.134,-2.089,0.433,0.202
0.039,0.000,12.857,-1.848,0.392,0.191
0.041,0.001,13.500,-1.607,0.378,0.189
0.043,0.002,14.143,-1.286,0.377,0.191
0.045,0.003,14.705,-1.045,0.371,0.235
0.047,0.003,15.268,-0.723,0.368,0.433
0.048,0.004,15.991,-0.161,0.359,0.417
0.051,0.005,17.036,0.884,0.341,0.368
0.053,0.005,17.598,1.527,0.336,0.294
0.054,0.006,18.080,2.009,0.307,0.244
0.055,0.006,18.643,2.491,0.294,0.213
0.056,0.006,19.045,2.893,0.275,0.186
0.057,0.007,19.527,3.214,0.266,0.166
0.058,0.007,19.929,3.536,0.246,0.152
0.059,0.007,20.330,3.777,0.227,0.136
