-0.047,-0.039,-6.268,-5.143,-0.203,-0.173
-0.047,-0.040,-6.268,-5.143,-0.199,-0.185
-0.047,-0.040,-6.268,-5.143,-0.192,-0.202
-0.046,-0.041,-6.268,-5.143,-0.184,-0.216
-0.045,-0.041,-6.268,-5.143,-0.177,-0.226
-0.045,-0.041,-6.268,-5.143,-0.167,-0.234
-0.045,-0.042,-6.268,-5.143,-0.165,-0.241
-0.044,-0.042,-6.268,-5.143,-0.157,-0.251
-0.044,-0.042,-6.268,-5.143,-0.151,-0.259
-0.043,-0.043,-6.268,-5.143,-0.141,-0.269
-0.043,-0.043,-6.268,-5.143,-0.132,-0.278
-0.042,-0.043,-6.268,-5.223,-0.125,-0.284
-0.042,-0.043,-6.268,-5.223,-0.116,-0.280
-0.041,-0.044,-6.268,-5.223,-0.106,-0.283
-0.040,-0.044,-6.268,-5.223,0.108,-0.285
-0.040,-0.044,-6.188,-5.223,0.112,-0.286
-0.039,-0.044,-6.107,-5.223,0.111,-0.286
-0.038,-0.044,-6.107,-5.223,0.126,-0.288
-0.038,-0.044,-6.027,-5.223,0.133,-0.287
-0.037,-0.044,-5.946,-5.223,0.137,-0.287
-0.036,-0.044,-5.946,-5.223,0.145,-0.285
-0.035,-0.044,-5.946,-5.223,0.159,-0.284
-0.034,-0.044,-5.946,-5.223,0.177,-0.283
-0.034,-0.044,-5.866,-5.223,0.189,-0.282
-0.033,-0.043,-5.866,-5.223,0.197,-0.281
-0.032,-0.043,-5.786,-5.223,0.214,-0.277
-0.031,-0.043,-5.625,-5.223,0.219,-0.276
-0.030,-0.043,-5.464,-5.223,0.217,-0.274
-0.029,-0.043,-5.223,-5.223,0.212,-0.270
-0.027,-0.043,-4.821,-5.223,0.198,-0.269
-0.026,-0.042,-4.661,-5.223,0.192,-0.265
-0.026,-0.042,-4.420,-5.223,0.171,-0.264
-0.024,-0.042,-4.098,-5.223,0.159,-0.261
-0.023,-0.042,-3.938,-5.223,0.156,-0.258
-0.022,-0.042,-3.857,-5.223,0.141,-0.258
-0.021,-0.042,-3.696,-5.223,0.145,-0.258
-0.019,-0.041,-3.536,-5.223,0.143,-0.252
-0.018,-0.041,-3.455,-5.223,0.160,-0.250
-0.017,-0.041,-3.375,-5.223,0.156,-0.250
-0.015,-0.041,-3.214,-5.223,0.162,-0.246
-0.014,-0.041,-3.134,-5.223,0.161,-0.243
-0.013,-0.041,-3.054,-5.223,0.167,-0.244
-0.012,-0.041,-2.893,-5.223,0.174,-0.243
-0.011,-0.041,-2.732,-5.223,0.172,-0.239
-0.010,-0.040,-2.491,-5.223,0.168,-0.238
-0.007,-0.040,-2.170,-5.223,0.160,-0.236
-0.006,-0.040,-2.009,-5.223,0.160,-0.232
-0.005,-0.040,-1.848,-5.223,0.146,-0.229
-0.004,-0.040,-1.688,-5.223,0.143,-0.229
-0.002,-0.039,-1.446,-5.223,0.138,-0.226
-0.000,-0.039,-1.205,-5.223,0.130,-0.219
0.002,-0.038,-1.045,-5.223,0.196,-0.209
0.004,-0.038,-0.723,-5.223,0.419,-0.195
0.007,-0.037,0.080,-5.223,0.404,-0.191
0.009,-0.036,1.286,-5.223,0.331,-0.174
0.011,-0.035,2.411,-5.223,0.219,-0.157
0.013,-0.034,3.054,-5.223,0.123,-0.143
0.013,-0.033,3.295,-5.223,-0.119,-0.130
0.014,-0.032,3.375,-5.223,-0.128,-0.122
0.015,-0.032,3.375,-5.223,-0.109,-0.110
0.016,-0.031,3.295,-5.223,0.117,-0.101
0.017,-0.030,3.295,-5.223,0.146,0.112
0.018,-0.030,3.295,-5.143,0.156,0.122
0.019,-0.029,3.375,-5.062,0.169,0.128
0.020,-0.028,3.536,-4.982,0.170,0.129
0.021,-0.028,3.616,-4.902,0.166,0.131
0.021,-0.027,3.777,-4.821,0.165,0.135
0.022,-0.026,3.857,-4.741,0.158,0.140
0.023,-0.025,4.018,-4.661,0.156,0.145
0.024,-0.024,4.018,-4.580,0.152,0.149
0.024,-0.024,4.098,-4.500,0.158,0.156
0.025,-0.023,4.179,-4.339,0.157,0.158
0.026,-0.022,4.339,-4.259,0.155,0.156
0.026,-0.021,4.420,-4.098,0.145,0.157
0.027,-0.020,4.580,-3.938,0.141,0.154
0.027,-0.019,4.661,-3.696,0.125,0.146
0.028,-0.018,4.741,-3.536,0.120,0.134
0.028,-0.017,4.821,-3.375,0.114,0.127
0.029,-0.016,4.902,-3.214,0.109,0.120
0.029,-0.015,4.982,-3.134,0.102,0.115
0.029,-0.014,5.062,-3.054,-0.111,0.120
0.029,-0.012,5.062,-2.893,-0.120,0.129
0.029,-0.012,5.062,-2.732,-0.119,0.140
0.029,-0.010,5.062,-2.571,-0.124,0.128
0.029,-0.009,5.062,-2.411,-0.127,0.141
0.029,-0.008,5.062,-2.330,-0.133,0.126
0.029,-0.006,5.062,-2.089,-0.136,0.132
0.028,-0.005,5.062,-2.009,-0.148,0.136
0.028,-0.004,5.062,-1.848,-0.153,0.126
0.028,-0.003,5.062,-1.768,-0.157,0.120
0.028,-0.003,5.062,-1.607,-0.165,0.122
0.027,-0.002,4.982,-1.527,-0.176,0.114
0.027,-0.001,4.982,-1.446,-0.175,0.116
0.027,0.000,4.982,-1.286,-0.182,0.118
0.026,0.001,4.982,-1.125,-0.198,0.111
0.025,0.002,4.982,-0.884,-0.221,0.161
0.024,0.003,4.982,-0.723,-0.236,0.359
0.024,0.004,4.902,-0.402,-0.241,0.357
0.022,0.006,4.902,0.562,-0.255,0.328
0.021,0.006,4.821,1.125,-0.286,0.254
0.020,0.008,4.741,2.009,-0.288,0.190
0.018,0.009,4.661,2.652,-0.318,0.118
0.016,0.010,4.580,3.054,-0.348,-0.137
0.014,0.011,4.259,3.054,-0.362,-0.158
0.012,0.011,3.696,2.973,-0.342,-0.140
0.010,0.012,3.134,2.893,-0.307,-0.113
0.008,0.012,2.652,2.893,-0.264,0.109
0.007,0.012,2.411,2.973,-0.225,0.115
0.006,0.012,2.330,3.054,-0.210,0.102
0.004,0.012,2.250,3.134,-0.215,-0.110
0.003,0.012,2.250,3.134,-0.223,-0.120
0.002,0.012,2.250,3.134,-0.242,-0.124
0.001,0.012,2.250,3.134,-0.259,-0.127
-0.000,0.012,2.250,3.134,-0.275,-0.130
-0.002,0.012,2.170,3.134,-0.287,-0.134
-0.003,0.012,2.170,3.054,-0.352,-0.138
-0.004,0.012,2.089,3.054,-0.571,-0.134
-0.005,0.011,1.848,3.054,-0.577,-0.139
-0.007,0.011,1.286,3.054,-0.560,-0.145
-0.008,0.011,0.804,3.054,-0.516,-0.150
-0.009,0.011,0.161,3.054,-0.476,-0.156
-0.010,0.011,-0.321,3.054,-0.426,-0.162
-0.012,0.010,-0.804,3.054,-0.394,-0.167
-0.013,0.010,-1.205,3.054,-0.367,-0.175
-0.014,0.010,-1.607,3.054,-0.346,-0.181
-0.015,0.009,-1.929,2.973,-0.330,-0.187
-0.016,0.009,-2.250,2.973,-0.312,-0.188
-0.018,0.009,-2.491,2.973,-0.293,-0.196
-0.019,0.008,-2.652,2.973,-0.280,-0.205
-0.020,0.008,-2.812,2.973,-0.275,-0.214
-0.021,0.008,-2.893,2.973,-0.273,-0.224
-0.022,0.007,-3.054,2.973,-0.274,-0.234
-0.024,0.007,-3.214,2.973,-0.276,-0.244
-0.026,0.006,-3.295,2.973,-0.297,-0.266
-0.027,0.005,-3.375,2.973,-0.308,-0.284
-0.028,0.005,-3.616,2.893,-0.298,-0.290
-0.030,0.004,-3.857,2.893,-0.285,-0.293
-0.031,0.003,-4.018,2.893,-0.283,-0.311
-0.032,0.003,-4.179,2.812,-0.265,-0.312
-0.032,0.002,-4.259,2.812,-0.260,-0.308
-0.033,0.002,-4.339,2.732,-0.258,-0.315
-0.034,0.001,-4.420,2.652,-0.261,-0.313
-0.035,-0.000,-4.661,2.250,-0.259,-0.307
-0.036,-0.001,-4.741,2.009,-0.256,-0.279
-0.037,-0.002,-4.902,1.768,-0.248,-0.254
-0.038,-0.002,-4.982,1.688,-0.252,-0.247
-0.039,-0.003,-5.062,1.527,-0.240,-0.291
-0.039,-0.004,-5.143,1.446,-0.247,-0.492
-0.040,-0.005,-5.143,1.125,-0.244,-0.487
-0.041,-0.005,-5.223,0.723,-0.252,-0.458
-0.041,-0.006,-5.304,0.080,-0.249,-0.416
-0.043,-0.007,-5.464,-0.804,-0.253,-0.344
-0.044,-0.008,-5.625,-1.446,-0.257,-0.272
-0.045,-0.009,-5.946,-1.929,-0.245,-0.222
-0.046,-0.011,-6.107,-2.170,-0.224,-0.193
-0.047,-0.012,-6.188,-2.250,-0.217,-0.197
-0.048,-0.014,-6.188,-2.330,-0.221,-0.223
-0.048,-0.015,-6.188,-2.411,-0.226,-0.244
-0.048,-0.015,-6.268,-2.491,-0.226,-0.249
-0.048,-0.016,-6.268,-2.652,-0.218,-0.245
-0.049,-0.017,-6.268,-2.732,-0.222,-0.237
-0.049,-0.018,-6.268,-2.893,-0.222,-0.234
-0.049,-0.018,-6.268,-2.973,-0.222,-0.225
-0.049,-0.019,-6.268,-3.134,-0.221,-0.222
-0.049,-0.020,-6.268,-3.214,-0.219,-0.213
-0.049,-0.020,-6.268,-3.295,-0.220,-0.214
-0.048,-0.021,-6.268,-3.375,-0.218,-0.215
-0.048,-0.022,-6.268,-3.375,-0.215,-0.218
-0.048,-0.023,-6.268,-3.455,-0.211,-0.225
-0.048,-0.024,-6.268,-3.536,-0.208,-0.226
-0.047,-0.024,-6.268,-3.616,-0.202,-0.228
-0.047,-0.025,-6.268,-3.696,-0.197,-0.228
-0.047,-0.026,-6.268,-3.777,-0.193,-0.228
-0.046,-0.027,-6.268,-3.857,-0.187,-0.228
-0.046,-0.027,-6.268,-3.938,-0.180,-0.230
-0.045,-0.028,-6.268,-4.018,-0.174,-0.230
-0.045,-0.029,-6.268,-4.098,-0.168,-0.231
-0.045,-0.030,-6.268,-4.179,-0.165,-0.231
-0.044,-0.031,-6.268,-4.259,-0.159,-0.230
-0.044,-0.031,-6.268,-4.339,-0.153,-0.234
-0.043,-0.032,-6.268,-4.339,-0.146,-0.232
-0.043,-0.033,-6.268,-4.420,-0.140,-0.243
-0.042,-0.034,-6.268,-4.580,-0.130,-0.242
-0.041,-0.035,-6.268,-4.821,-0.120,-0.234
-0.041,-0.036,-6.268,-4.902,0.103,-0.232
-0.039,-0.037,-6.107,-5.062,0.110,-0.227
-0.039,-0.038,-6.107,-5.143,0.117,-0.229
-0.038,-0.039,-6.107,-5.223,0.124,-0.222
-0.037,-0.039,-6.027,-5.223,0.134,-0.225
-0.036,-0.041,-5.946,-5.223,0.144,-0.236
-0.035,-0.041,-5.946,-5.223,0.166,-0.258
-0.033,-0.043,-5.946,-5.223,0.178,-0.266
-0.032,-0.043,-5.946,-5.223,0.212,-0.285
-0.032,-0.044,-5.946,-5.223,0.219,-0.287
-0.031,-0.044,-5.866,-5.223,0.238,-0.296
-0.030,-0.045,-5.786,-5.304,0.249,-0.302
-0.029,-0.046,-5.625,-5.304,0.253,-0.302
-0.028,-0.046,-5.384,-5.304,0.251,-0.311
-0.027,-0.047,-5.143,-5.304,0.241,-0.319
-0.026,-0.047,-4.821,-5.304,0.226,-0.325
-0.025,-0.048,-4.580,-5.304,0.206,-0.332
-0.024,-0.048,-4.420,-5.304,0.196,-0.339
-0.023,-0.049,-4.098,-5.384,0.189,-0.342
-0.021,-0.050,-3.777,-5.464,0.170,-0.342
-0.019,-0.051,-3.455,-5.946,0.169,-0.340
-0.017,-0.052,-3.134,-6.348,0.159,-0.294
-0.015,-0.052,-2.812,-6.750,0.148,-0.256
-0.012,-0.053,-2.571,-6.991,0.142,-0.220
-0.010,-0.054,-2.250,-7.152,0.141,-0.202
-0.009,-0.054,-2.089,-7.232,0.132,-0.190
-0.007,-0.055,-2.009,-7.232,0.128,-0.188
-0.006,-0.055,-1.848,-7.232,0.124,-0.190
-0.005,-0.055,-1.768,-7.232,0.122,-0.191
-0.004,-0.055,-1.688,-7.232,0.124,-0.194
-0.003,-0.056,-1.527,-7.232,0.129,-0.196
-0.002,-0.056,-1.527,-7.232,0.127,-0.199
-0.001,-0.056,-1.446,-7.232,0.139,-0.204
0.000,-0.056,-1.366,-7.312,0.146,-0.200
0.001,-0.056,-1.286,-7.312,0.149,-0.193
0.002,-0.056,-1.205,-7.312,0.156,-0.194
0.003,-0.056,-1.125,-7.312,0.217,-0.194
0.004,-0.056,-0.884,-7.312,0.434,-0.193
0.006,-0.056,-0.643,-7.312,0.429,-0.193
0.007,-0.056,-0.161,-7.312,0.417,-0.193
0.008,-0.056,0.402,-7.312,0.374,-0.191
0.009,-0.056,1.045,-7.312,0.326,-0.189
0.010,-0.056,1.607,-7.312,0.270,-0.183
0.011,-0.055,2.009,-7.312,0.225,-0.181
0.012,-0.055,2.411,-7.312,0.202,-0.177
0.012,-0.055,2.732,-7.312,0.180,-0.172
0.013,-0.054,2.973,-7.312,0.163,-0.166
0.014,-0.054,3.214,-7.312,0.156,-0.165
0.015,-0.054,3.375,-7.312,0.135,-0.156
0.016,-0.053,3.536,-7.312,0.120,-0.152
0.016,-0.053,3.616,-7.312,0.111,-0.144
0.017,-0.052,3.616,-7.312,0.109,-0.137
0.017,-0.052,3.696,-7.312,0.112,-0.130
0.018,-0.051,3.696,-7.312,0.109,-0.118
