x,y,angle_x,angle_y,input_x,input_y
-0.003,0.021,-1.688,-1.125,-0.199,0.161
-0.003,0.022,-1.688,-0.884,-0.190,0.135
-0.003,0.022,-1.688,-0.723,-0.191,0.167
-0.003,0.023,-1.688,-0.562,-0.209,0.386
-0.003,0.024,-1.688,-0.321,-0.210,0.396
-0.003,0.024,-1.688,0.161,-0.213,0.370
-0.003,0.025,-1.688,0.643,-0.227,0.320
-0.003,0.025,-1.688,1.205,-0.225,0.277
-0.003,0.026,-1.688,1.688,-0.203,0.216
-0.003,0.026,-1.688,2.089,-0.157,0.158
-0.003,0.026,-1.688,2.411,-0.188,-0.119
-0.002,0.027,-1.688,2.491,-0.195,-0.127
-0.002,0.028,-1.688,2.411,-0.195,-0.106
-0.002,0.028,-1.688,2.411,-0.166,0.169
-0.002,0.028,-1.688,2.491,-0.165,0.107
-0.002,0.028,-1.688,2.652,-0.146,-0.114
-0.002,0.029,-1.688,2.652,-0.137,-0.114
-0.001,0.029,-1.688,2.652,-0.106,0.156
-0.001,0.029,-1.688,2.652,-0.153,-0.109
-0.001,0.029,-1.688,2.652,-0.130,0.107
-0.001,0.030,-1.688,2.732,0.140,0.123
-0.001,0.030,-1.688,2.893,0.378,0.121
-0.000,0.030,-1.527,2.973,0.124,-0.132
-0.000,0.029,-1.286,2.973,-0.107,-0.150
-0.000,0.029,-1.205,2.893,-0.115,-0.167
0.000,0.029,-1.205,2.893,0.130,-0.204
0.000,0.029,-1.205,2.893,0.310,-0.159
0.001,0.029,-1.125,2.812,0.160,-0.155
0.001,0.028,-0.723,2.812,0.388,-0.152
0.001,0.028,-0.402,2.812,0.421,-0.189
0.001,0.028,0.241,2.812,0.304,-0.215
0.002,0.027,1.286,2.812,0.241,-0.217
0.002,0.027,1.848,2.732,0.204,-0.284
0.002,0.027,2.491,2.571,-0.128,-0.287
0.001,0.026,2.571,2.330,-0.333,-0.346
0.001,0.026,2.250,1.848,-0.634,-0.601
0.001,0.025,1.205,0.804,-0.563,-0.539
0.000,0.024,0.161,-0.241,-0.501,-0.448
0.000,0.024,-0.482,-0.804,-0.445,-0.183
-0.000,0.024,-0.964,-1.125,-0.311,0.398
-0.001,0.024,-1.366,-1.125,-0.309,0.454
-0.001,0.024,-1.688,-0.723,-0.278,0.449
-0.002,0.024,-1.929,0.000,-0.220,0.416
-0.002,0.024,-2.009,0.562,-0.207,0.316
-0.002,0.024,-2.089,1.205,-0.243,0.242
-0.003,0.024,-2.089,1.607,-0.204,0.139
-0.003,0.024,-2.089,1.929,-1.278,0.103
-0.003,0.024,-2.732,2.170,-4.614,-0.157
-0.004,0.024,-6.107,2.170,-0.869,-0.156
-0.004,0.024,-10.527,2.170,-0.432,-0.166
-0.004,0.024,-12.134,2.089,0.301,-0.187
-0.004,0.023,-12.857,2.089,0.496,-0.268
-0.004,0.023,-12.696,2.009,0.594,-0.452
-0.004,0.023,-12.134,1.768,0.645,-0.292
-0.004,0.023,-11.250,1.527,0.647,-0.498
-0.003,0.023,-10.286,1.205,0.571,-0.490
-0.003,0.023,-9.241,0.643,0.478,-0.386
-0.003,0.022,-8.518,0.321,0.394,-0.151
-0.002,0.022,-7.714,0.080,0.347,-0.327
-0.001,0.022,-7.152,0.000,0.287,-0.323
-0.001,0.022,-6.670,-0.241,0.233,-0.332
-0.000,0.022,-6.107,-0.482,0.152,-0.308
-0.000,0.021,-5.705,-0.884,-0.121,-0.317
-0.001,0.021,-5.705,-0.964,-0.330,-0.501
-0.001,0.020,-5.786,-1.527,-0.364,-0.360
-0.001,0.019,-6.107,-2.009,-0.373,-0.406
-0.001,0.018,-6.670,-2.732,-0.328,-0.344
-0.001,0.018,-6.991,-3.054,-0.306,-0.408
-0.001,0.017,-7.152,-3.455,-0.223,-0.239
-0.001,0.017,-7.312,-3.696,-0.225,-0.229
-0.001,0.016,-7.393,-3.857,-0.202,-0.248
-0.001,0.016,-7.393,-4.018,-0.213,-0.218
-0.001,0.016,-7.393,-4.179,-0.128,-0.213
-0.000,0.015,-7.393,-4.179,0.143,-0.205
-0.000,0.015,-7.393,-4.259,0.188,-0.122
0.000,0.015,-7.312,-4.259,0.182,-0.118
0.001,0.015,-6.991,-4.259,0.207,-0.110
0.002,0.015,-6.750,-4.259,0.338,0.151
0.002,0.015,-6.509,-4.179,0.213,0.126
0.003,0.016,-6.107,-4.098,0.174,0.122
0.004,0.016,-5.705,-4.018,0.193,0.132
0.004,0.016,-5.464,-3.857,0.253,0.168
0.005,0.016,-4.982,-3.536,0.201,0.134
0.006,0.017,-4.500,-3.214,0.260,0.144
0.007,0.017,-4.018,-2.973,0.210,0.167
0.008,0.016,-3.455,-2.652,-0.102,-0.973
0.009,0.016,-3.375,-3.857,0.198,-3.292
0.011,0.016,-3.214,-11.170,0.254,-0.409
0.012,0.016,-2.812,-15.670,0.281,0.356
0.012,0.016,-2.491,-16.393,0.150,1.287
0.013,0.016,-2.250,-15.830,-0.112,1.421
0.014,0.016,-2.170,-14.143,-0.155,1.338
0.000,-0.000,-2.089,-11.973,-1.182,0.127
0.015,0.016,-2.812,-10.286,-3.152,-2.251
0.016,0.017,-5.143,-10.848,4.024,4.965
0.016,0.017,-4.339,-8.036,0.495,0.790
0.017,0.017,-1.768,-4.339,0.339,0.402
0.018,0.018,-0.402,-2.089,0.105,-0.190
0.018,0.018,0.562,-1.045,-0.308,-0.422
0.019,0.018,0.643,-0.964,-0.367,-0.539
0.020,0.019,0.482,-1.366,-0.366,-0.590
0.020,0.019,0.161,-1.929,-0.374,-0.512
0.021,0.019,-0.161,-2.571,-0.317,-0.450
0.021,0.020,-0.482,-3.134,-0.268,-0.425
0.022,0.020,-0.643,-3.696,-0.232,-0.299
0.023,0.020,-0.804,-4.098,-0.212,-0.238
0.023,0.021,-0.964,-4.339,-0.165,-0.208
0.024,0.021,-0.964,-4.500,0.107,-0.158
0.024,0.021,-0.964,-4.580,0.357,-0.180
0.025,0.021,-0.804,-4.580,0.391,-0.136
0.026,0.022,-0.402,-4.580,0.397,-0.148
0.026,0.022,0.080,-4.580,0.360,-0.114
0.027,0.022,0.723,-4.580,0.299,0.102
0.027,0.023,1.286,-4.500,0.272,0.113
0.028,0.023,1.688,-4.500,0.207,0.122
0.028,0.023,2.089,-4.420,0.133,0.150
0.029,0.024,2.330,-4.339,0.116,0.135
0.029,0.024,2.491,-4.339,0.131,0.154
0.030,0.024,2.652,-4.179,-0.114,0.170
0.030,0.025,2.652,-4.018,-0.109,0.139
0.031,0.025,2.652,-3.696,0.106,0.155
0.031,0.026,2.652,-3.536,0.224,0.187
0.031,0.026,2.732,-3.375,0.108,0.137
0.032,0.027,2.893,-3.214,0.105,0.123
0.032,0.027,3.054,-3.054,0.129,0.165
0.032,0.028,3.214,-2.893,0.132,0.204
0.033,0.028,3.295,-2.732,0.137,-0.104
0.033,0.028,3.375,-2.652,0.119,-0.117
0.033,0.028,3.455,-2.652,0.145,-0.123
0.033,0.029,3.536,-2.652,0.149,-0.115
0.034,0.029,3.696,-2.652,0.154,0.101
0.034,0.029,3.857,-2.652,0.236,-0.116
0.034,0.029,4.018,-2.652,0.145,-0.131
0.034,0.029,4.179,-2.652,0.133,-0.160
0.034,0.030,4.339,-2.732,0.106,-0.144
0.034,0.030,4.420,-2.732,-0.140,-0.135
0.034,0.030,4.420,-2.732,-0.212,-0.114
0.034,0.030,4.339,-2.732,-0.267,-0.154
0.033,0.030,4.098,-2.732,-0.311,-0.132
0.033,0.030,3.777,-2.732,-0.319,-0.126
0.032,0.030,3.214,-2.732,-0.313,-0.154
0.032,0.030,2.812,-2.732,-0.263,-0.203
0.032,0.030,2.652,-2.732,-0.226,-0.210
0.032,0.030,2.491,-2.732,-0.149,-0.212
0.031,0.030,2.411,-2.732,-0.114,-0.215
0.031,0.030,2.411,-2.732,0.117,-0.240
0.031,0.029,2.491,-2.812,0.101,-0.226
0.031,0.029,2.491,-2.812,-0.126,-0.276
0.031,0.029,2.491,-2.812,-0.133,-0.267
0.031,0.029,2.491,-2.893,-0.137,-0.267
0.030,0.029,2.411,-2.893,-0.162,-0.267
0.030,0.029,2.411,-2.973,-0.151,-0.267
0.030,0.029,2.411,-3.054,-0.137,-0.273
0.030,0.028,2.411,-3.134,-0.130,-0.245
0.030,0.028,2.411,-3.295,-0.180,-0.241
0.030,0.028,2.411,-3.375,-0.156,-0.221
0.029,0.028,2.411,-3.455,-0.182,-0.260
0.029,0.028,2.411,-3.536,-0.181,-0.216
0.029,0.028,2.411,-3.616,-0.173,-0.209
0.029,0.027,2.411,-3.616,-0.184,-0.252
0.029,0.027,2.411,-3.616,-0.195,-0.226
0.029,0.027,2.411,-3.696,-0.233,-0.224
0.028,0.027,2.411,-3.696,-0.222,-0.215
0.028,0.027,2.411,-3.696,-0.233,-0.229
0.028,0.027,2.411,-3.696,-0.250,-0.216
0.028,0.026,2.411,-3.777,-0.205,-0.251
0.028,0.026,2.411,-3.857,-0.193,-0.247
0.028,0.026,2.411,-3.857,-0.174,-0.211
0.028,0.026,2.411,-3.857,-0.177,-0.223
0.028,0.026,2.411,-3.857,-0.123,-0.198
0.029,0.026,2.411,-3.857,-0.127,-0.201
0.029,0.026,2.411,-3.857,-0.124,-0.203
0.029,0.026,2.411,-3.857,-0.150,-0.216
0.029,0.026,2.411,-3.857,-0.172,-0.216
0.029,0.026,2.411,-3.857,-0.190,-0.181
0.028,0.026,2.411,-3.857,-0.204,-0.178
0.028,0.026,2.411,-3.857,-0.223,-0.162
0.028,0.026,2.411,-3.857,-0.223,-0.157
0.028,0.026,2.411,-3.857,-0.179,-0.167
0.028,0.026,2.411,-3.857,-0.146,-0.195
0.028,0.026,2.411,-3.857,-0.166,-0.215
0.028,0.026,2.411,-3.857,-0.181,-0.186
0.028,0.026,2.411,-3.857,-0.192,-0.199
0.028,0.026,2.411,-3.857,-0.207,-0.217
0.028,0.026,2.411,-3.857,-0.191,-0.180
0.028,0.026,2.411,-3.857,-0.173,-0.185
0.028,0.026,2.411,-3.857,-0.164,-0.177
0.028,0.026,2.411,-3.857,-0.151,-0.180
0.028,0.026,2.411,-3.857,-0.176,-0.193
0.000,-0.000,2.411,-3.857,-1.438,-1.260
0.028,0.026,0.402,-5.625,-3.742,-2.958
0.029,0.026,-8.277,-12.455,4.887,5.440
0.029,0.026,-4.661,-6.670,1.362,1.081
0.029,0.026,2.812,1.366,0.851,-0.381
0.030,0.027,5.464,3.134,0.169,-2.916
0.030,0.027,7.071,2.009,-0.360,-1.109
0.030,0.027,7.554,-0.321,-0.600,-0.941
0.030,0.028,7.232,-2.170,-0.644,-0.696
0.031,0.028,6.670,-3.536,-0.629,-0.476
0.031,0.028,5.946,-4.580,-0.583,-0.319
0.031,0.028,5.223,-5.223,-0.521,-0.212
0.031,0.028,4.580,-5.545,-0.441,-0.128
0.031,0.028,4.018,-5.705,-0.379,-0.111
0.031,0.028,3.536,-5.705,-0.336,-0.105
0.030,0.028,3.134,-5.705,-0.289,0.108
0.030,0.028,2.812,-5.705,-0.232,-0.108
0.030,0.028,2.571,-5.625,-0.213,0.105
0.030,0.028,2.411,-5.625,-0.191,-0.107
0.030,0.028,2.411,-5.625,-0.171,-0.116
0.030,0.028,2.411,-5.625,-0.194,-0.104
0.030,0.028,2.411,-5.705,-0.196,-0.101
0.030,0.028,2.411,-5.705,-0.177,-0.121
0.030,0.028,2.411,-5.705,-0.168,-0.107
0.030,0.028,2.411,-5.705,-0.150,-0.115
0.030,0.028,2.411,-5.705,-0.126,-0.119
0.030,0.027,2.411,-5.705,-0.133,-0.148
0.030,0.027,2.411,-5.705,-0.139,-0.140
0.030,0.027,2.411,-5.705,-0.139,-0.125
0.030,0.027,2.411,-5.705,-0.180,-0.137
